"viewing_id","listing_id","client_id","agent_id","scheduled_at","notes"
1,1,22,3,"2025-11-22 14:00:00","First viewing"
2,2,17,9,"2025-08-20 11:30:00","Interested buyer"
3,3,41,1,"2025-11-27 16:00:00","Asked about renovation"
4,4,8,5,"2025-12-14 10:00:00","Follow-up visit"
5,5,30,11,"2025-09-19 15:30:00","Family viewing"
6,6,12,2,"2025-11-02 13:00:00","Luxury property tour"
7,7,46,7,"2025-11-18 12:00:00","Second visit"
8,8,19,4,"2025-11-11 17:00:00","Client requested info"
9,9,35,10,"2025-11-16 09:30:00","Spacious layout liked"
10,10,6,6,"2025-08-21 14:30:00","Budget discussion"
11,11,28,12,"2025-09-06 11:00:00","High-end buyer"
12,12,3,8,"2024-09-15 15:00:00","Historic building"
13,13,49,13,"2025-11-20 16:30:00","Luxury focused"
14,14,11,2,"2025-11-22 13:30:00","Good investment"
15,15,24,9,"2025-07-05 10:00:00","Central location"
16,16,7,5,"2025-11-09 12:00:00","Modern design"
17,17,31,1,"2025-10-30 14:00:00","Renovated unit"
18,18,2,4,"2025-11-23 11:30:00","Layout appreciated"
19,19,44,6,"2025-10-02 16:00:00","Investment potential"
20,20,16,11,"2025-11-13 09:00:00","Near metro"
21,21,30,8,"2025-11-17 15:00:00","River view"
22,22,12,3,"2025-11-13 14:30:00","Prime location"
23,23,50,7,"2025-06-18 11:00:00","Iconic property"
24,24,5,10,"2025-12-15 16:00:00","New listing"
25,25,39,13,"2025-10-08 13:00:00","Ultra luxury"
